TermBits,InChannels,ClassCount,WeightBits,DSPCount,LUT4,FF
1,3,19,3,0,944,16
1,3,20,3,0,986,16
1,3,21,3,0,1037,16
1,3,22,3,0,1080,16
1,3,23,3,0,1130,16
1,3,24,3,0,1173,16
1,3,25,3,0,1243,16
1,3,26,3,0,1284,16
1,3,27,3,0,1336,16
1,3,28,3,0,1378,16
1,3,29,3,0,1437,16
1,3,30,3,0,1479,16
1,3,31,3,0,1534,16
1,3,32,3,0,1577,16
1,4,1,3,0,77,19
1,4,2,3,0,150,19
1,4,3,3,0,224,19
1,4,4,3,0,288,19
1,4,5,3,0,363,19
1,4,6,3,0,424,19
1,4,7,3,0,501,19
1,4,8,3,0,565,19
1,4,9,3,0,640,19
